timestamp,source_ip,method,url,full_url,status_code,user_agent,referrer,scheme,host,path,query_string,file_extension,source,url_length,special_characters,has_sql_keyword,has_script,has_traversal,regex_class,regex_pattern,ml_class,ml_confidence,stat_is_flood,stat_is_bruteforce,stat_suspicious,final_classification,attack_outcome
2026-04-07 07:48:25.358809,10.0.0.1,HEAD,https://admin.example.com/index.html,https://admin.example.com/index.html,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,https,admin.example.com,/index.html,,html,pcap,36,7,0,0,0,Normal,,Normal,0.9896,0,0,0,Normal,none
2026-04-07 07:48:25.702861,10.0.0.1,GET,http://example.com/help?status=active&from=2024-01-01&to=2024-12-31,http://example.com/help?status=active&from=2024-01-01&to=2024-12-31,,python-requests/2.31.0,,http,example.com,/help,status=active&from=2024-01-01&to=2024-12-31,,pcap,67,15,0,0,0,Normal,,Normal,0.5016,0,0,0,Normal,none
2026-04-07 07:48:26.365953,10.0.0.1,GET,http://test-app.local/register?type=product,http://test-app.local/register?type=product,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,http,test-app.local,/register,type=product,,pcap,43,8,0,0,0,Normal,,Normal,0.9115,0,0,0,Normal,none
2026-04-07 07:48:26.372450,10.0.0.1,GET,https://admin.example.com/checkout,https://admin.example.com/checkout,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,https,admin.example.com,/checkout,,,pcap,34,6,0,0,0,Normal,,Normal,0.9968,0,0,0,Normal,none
2026-04-07 07:48:27.174738,10.0.0.1,POST,http://secure.example.com/dashboard?user=john&q=laptop,http://secure.example.com/dashboard?user=john&q=laptop,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,http,secure.example.com,/dashboard,user=john&q=laptop,,pcap,54,10,0,0,0,Normal,,Normal,0.9378,0,0,0,Normal,none
2026-04-07 07:48:25.404782,10.0.0.10,GET,https://example.com/download/../../../var/log/auth.log,https://example.com/download/../../../var/log/auth.log,,PostmanRuntime/7.35.0,,https,example.com,/var/log/auth.log,,log,pcap,54,18,0,0,1,Directory Traversal,\.\./|\.\\\\,Directory Traversal,0.5106,0,0,0,Directory Traversal,attempt
2026-04-07 07:48:25.449744,10.0.0.10,GET,http://example.com/events?order=name&view=list,http://example.com/events?order=name&view=list,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,http,example.com,/events,order=name&view=list,,pcap,46,9,0,0,0,Normal,,Normal,0.7687,0,0,0,Normal,none
2026-04-07 07:48:25.465735,10.0.0.10,GET,http://secure.example.com/js/main.js?view=list,http://secure.example.com/js/main.js?view=list,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,http,secure.example.com,/js/main.js,view=list,js,pcap,46,10,0,0,0,Normal,,Normal,0.8156,0,0,0,Normal,none
2026-04-07 07:48:25.918156,10.0.0.10,POST,http://api.example.com/lookup?command=test;,http://api.example.com/lookup?command=test;,,gobuster/3.6,,http,api.example.com,/lookup,command=test%3B,,pcap,43,9,0,0,0,Command Injection,\b(?:cmd|exec|command|shell)\s*=,Normal,0.6947,0,0,0,Command Injection,attempt
2026-04-07 07:48:26.305127,10.0.0.10,GET,https://admin.example.com/faq?status=active&filter=recent,https://admin.example.com/faq?status=active&filter=recent,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,https,admin.example.com,/faq,status=active&filter=recent,,pcap,57,10,0,0,0,Normal,,Normal,0.9593,0,0,0,Normal,none
2026-04-07 07:48:25.452673,10.0.0.100,GET,http://shop.example.com/privacy,http://shop.example.com/privacy,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,http,shop.example.com,/privacy,,,pcap,31,6,0,0,0,Normal,,Normal,0.9971,0,0,0,Normal,none
2026-04-07 07:48:25.478683,10.0.0.100,GET,http://shop.example.com/read?template=/var/log/apache2/access.log,http://shop.example.com/read?template=/var/log/apache2/access.log,,nuclei,,http,shop.example.com,/read,template=%2Fvar%2Flog%2Fapache2%2Faccess.log,,pcap,65,13,0,0,0,Normal,,Normal,0.5586,0,0,0,Normal,none
2026-04-07 07:48:25.686215,10.0.0.100,POST,http://shop.example.com/admin?username=',http://shop.example.com/admin?username=',,burpsuite,,http,shop.example.com,/admin,username=%27,,pcap,40,9,0,0,0,Normal,,Normal,0.6197,0,0,0,Normal,none
2026-04-07 07:48:25.719289,10.0.0.100,GET,http://api.example.com/api/users?page=1&order=name,http://api.example.com/api/users?page=1&order=name,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,http,api.example.com,/api/users,page=1&order=name,,pcap,50,11,0,0,0,Normal,,Normal,0.6772,0,0,0,Normal,none
2026-04-07 07:48:25.749342,10.0.0.100,GET,http://test-app.local/css/style.css?brand=apple&from=2024-01-01&type=product,http://test-app.local/css/style.css?brand=apple&from=2024-01-01&type=product,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,http,test-app.local,/css/style.css,brand=apple&from=2024-01-01&type=product,css,pcap,76,16,0,0,0,Normal,,Normal,0.8531,0,0,0,Normal,none
2026-04-07 07:48:25.761865,10.0.0.100,GET,http://api.example.com/download//..../..../..../etc/passwd,http://api.example.com/download//..../..../..../etc/passwd,,dirbuster,,http,api.example.com,/download/..../..../..../etc/passwd,,,pcap,58,24,0,0,1,Directory Traversal,\.\./|\.\\\\,Directory Traversal,0.4608,0,0,0,Directory Traversal,attempt
2026-04-07 07:48:26.265292,10.0.0.100,GET,http://secure.example.com/images/logo.png?id=123&lang=en,http://secure.example.com/images/logo.png?id=123&lang=en,,curl/8.4.0,,http,secure.example.com,/images/logo.png,id=123&lang=en,png,pcap,56,12,0,0,0,Normal,,Normal,0.8202,0,0,0,Normal,none
2026-04-07 07:48:27.226959,10.0.0.100,GET,http://admin.example.com/settings,http://admin.example.com/settings,,PostmanRuntime/7.35.0,,http,admin.example.com,/settings,,,pcap,33,6,0,0,0,Normal,,Normal,0.9984,0,0,0,Normal,none
