timestamp,source_ip,method,url,full_url,status_code,user_agent,referrer,scheme,host,path,query_string,file_extension,source,url_length,special_characters,has_sql_keyword,has_script,has_traversal
2026-04-07T10:15:32+05:30,192.168.1.10,GET,/login.php?username=admin'--&password=123,/login.php?username=admin'--&password=123,200,Mozilla/5.0,-,http,,/login.php,username=admin%27--&password=123,php,apache,41,9,1,0,0
2026-04-07T10:16:01+05:30,192.168.1.15,POST,/login,/login,401,sqlmap/1.7.2,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:17:45+05:30,192.168.1.20,GET,/product.php?id=1,/product.php?id=1,200,Mozilla/5.0,-,http,,/product.php,id=1,php,apache,17,4,0,0,0
2026-04-07T10:18:12+05:30,192.168.1.25,GET,/search?q=<script>alert('XSS')</script>,/search?q=<script>alert('XSS')</script>,200,Mozilla/5.0,-,http,,/search,q=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,,apache,39,12,0,1,0
2026-04-07T10:19:30+05:30,192.168.1.30,GET,/index.php?page=../../etc/passwd,/index.php?page=../../etc/passwd,200,Mozilla/5.0,-,http,,/index.php,page=..%2F..%2Fetc%2Fpasswd,php,apache,32,11,0,0,1
2026-04-07T10:20:10+05:30,192.168.1.35,GET,/admin,/admin,403,Mozilla/5.0,-,http,,/admin,,,apache,6,1,0,0,0
2026-04-07T10:20:15+05:30,192.168.1.40,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:20:18+05:30,192.168.1.40,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:20:20+05:30,192.168.1.40,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:21:05+05:30,192.168.1.45,GET,/upload.php,/upload.php,200,Mozilla/5.0,-,http,,/upload.php,,php,apache,11,2,0,0,0
2026-04-07T10:21:10+05:30,192.168.1.45,POST,/upload.php,/upload.php,200,Mozilla/5.0,-,http,,/upload.php,,php,apache,11,2,0,0,0
2026-04-07T10:22:33+05:30,192.168.1.50,GET,/cmd.php?cmd=ls,/cmd.php?cmd=ls,200,Mozilla/5.0,-,http,,/cmd.php,cmd=ls,php,apache,15,4,0,0,0
2026-04-07T10:23:44+05:30,192.168.1.55,GET,/login.php?username=admin',/login.php?username=admin',200,Mozilla/5.0,-,http,,/login.php,username=admin%27,php,apache,26,5,0,0,0
2026-04-07T10:24:55+05:30,192.168.1.60,GET,/search?q=<img,/search?q=<img,200,Mozilla/5.0,-,http,,/search,q=%3Cimg,,apache,14,4,0,0,0
2026-04-07T10:25:12+05:30,192.168.1.65,GET,/index.php?page=../../../../windows/win.ini,/index.php?page=../../../../windows/win.ini,200,Mozilla/5.0,-,http,,/index.php,page=..%2F..%2F..%2F..%2Fwindows%2Fwin.ini,php,apache,43,18,0,0,1
2026-04-07T10:26:30+05:30,192.168.1.70,GET,/api/user?id=1,/api/user?id=1,200,Mozilla/5.0,-,http,,/api/user,id=1,,apache,14,4,0,0,0
2026-04-07T10:27:40+05:30,192.168.1.75,GET,/login,/login,200,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:27:42+05:30,192.168.1.75,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:27:44+05:30,192.168.1.75,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
2026-04-07T10:27:46+05:30,192.168.1.75,POST,/login,/login,401,Mozilla/5.0,-,http,,/login,,,apache,6,1,0,0,0
